"term","estimate","std.error","statistic","p.value","p_valor_formatado"
"(Intercept)",9.88992006293297,0.262192105373738,37.7201290970814,1.39707774691033e-53,"<0.001 ***"
"log(banheiros)",0.0535593714570984,0.0450285472698648,1.1894536844839,0.237693968920344,"0.2377"
"vagas_garagem",0.131944744965806,0.0412212352588571,3.20089255300653,0.00194971113924356,"0.0019 **"
"log(area_privativa)",-0.377189365348479,0.0579678209908678,-6.50687500238971,5.69562510927006e-09,"<0.001 ***"
"ec",0.165650855659031,0.0269199393263169,6.15346318767854,2.65052532735873e-08,"<0.001 ***"
"pa",0.168782259792624,0.0260211650042894,6.48634524106823,6.23204919156416e-09,"<0.001 ***"
"dist_mar",-0.000189420723808989,4.03417294511134e-05,-4.69540414816701,1.05472865473945e-05,"<0.001 ***"
"I(1/localizacao)",-883.009191100002,409.635832341691,-2.15559558364868,0.0340465647833449,"0.034 *"
